Participant_id;Event;Condition;Condition_labels;Text;Text_clean;EL_abs_num;EL_stand_num;deceptiveness;centrality;fabrication_source
660687a02630547fb296d754;Taking the bus/train without the ticket;Truthful;0;I was in a city nearby my hometown. I was going through application process for a job in the industry. I was still a college student and this would be my first job if I did well. I was nervous and I kept thinking about the job to the point where I forgot you cannot extend your student transit card inside a bus. I realized the problem while I was waiting at the bus stop, just a few minutes before it arrived. So I did what I thought would be fun and kind of risky. I decided to enter the bus through the back door, which is the door passengers usually leave the bus from. The front door is used to get on the bus, the back door was used only when you want to get out. The ticket control person was not on the bus that ride, so I just got a free ride. I got to the company HQ and I got the job! The next day, since I would use that bus very often from that day forward, I decided to extend my student city transit card.;city nearby hometown go application process job industry college student job nervous keep think job point forget extend student transit card inside bus realize problem wait bus stop minute arrive think fun kind risky decide enter bus door door passenger usually leave bus door bus door want ticket control person bus ride get free ride get company hq get job day use bus day forward decide extend student city transit card;4;0.190721649484536;5.0;4.5;2.0
65391353897d68dd53a067da;Ending a long romantic relationship;Truthful;0;It was a 5 year relationship and we were very attached to each other. Until she cheated on me and lied about it. I found out because I went through her phone, which is a very immoral thing to do and I felt like throwing up when I did it. But she kept lying to me. And then we broke up, but I still couldn't break the attachment, because we lived together and did everything together. So when she moved out, I completely lost it. I felt like a car could hit me anytime when walking down the street because I was so in my head and my thoughts. It was like I was a ghost or something. Every thought I had was about it. I was extremely angry and sad and felt betrayed and I still missed her and wanted to talk to her. It was very confusing and extremely difficult.;5 year relationship attached cheat lie find go phone immoral thing feel like throw keep lie break break attachment live move completely lose feel like car hit anytime walk street head thought like ghost thought extremely angry sad feel betray miss want talk confusing extremely difficult;4;0.202702702702703;3.25;3.5;3.0
615b2ee8616d1b05551794ee;A job interview for your dream job;Truthful;0;It was on the 14th of February when I walked into the gates of the institution to be interviewed for a job I had always wanted to do. This was my second interview after the first one was a success. The interview was scheduled for 09h00 and I got there 30mins earlier, and I offered coffee by the lady at the reception as I waited for my interview to start. I was feeling all sorts of emotions, I did not know what to expect. There were two people in the panel, very welcoming and assuring. The interview started and as nervous as I was, I managed to impress the ladies. It lasted for an hour. I remember leaving there, energised, excited and looking forward to a response from them.;14th february walk gate institution interview job want second interview success interview schedule 09h00 get 30min early offer coffee lady reception wait interview start feel sort emotion know expect people panel welcoming assure interview start nervous manage impress lady last hour remember leave energise excited look forward response;8;0.705882352941177;5.0;1.25;5.0
616dc201c0b58a25890f4b94;Ending a long romantic relationship;Truthful;0;My partner and I were in a long distance relationship until he relocated to a town near mine. Because I was still living with my parents and studying, I could not visit him as often as i had liked. My parents went on vacation for a week and by then it was exam season but i was done with my exams, so we planed that Id sleep over at this apartment for the week. He wanted to take the full week off but he couldnt so he took a 3 days off. The first 3 days with him he was not relaxed. Everywhere he went he had his phone even in the shower. At night he would switch his phone off. That made me very concerned and i spoke to him about it but he made it seem like i was over reacting. The week went by until he had to go to work on the thursday. I decided to search around his apartment what was it that he was hiding. I then found a packet of opened sanitary pads (when i needed pads while with him, hed buy me and id leave with them home) and i found a slip of women clothing store dated the previous holiday season in december. I left his apartment hurt and feeling betrayed and when i got home, i broke up with him via text and blocked his number. It was clear that i was not the only one and was not willing to let him lie to me;partner long distance relationship relocate town near live parent study visit like parent go vacation week exam season exam plane d sleep apartment week want week not take 3 day 3 day relaxed go phone shower night switch phone concerned speak like react week go work thursday decide search apartment hide find packet open sanitary pad need pad d buy d leave home find slip woman clothing store date previous holiday season december leave apartment hurt feeling betray get home break text block number clear willing let lie;4;0.542553191489362;3.25;3.0;5.0
5b6034ba0ced0a00017ba9b9;Missing a deadline at work because of bad organisation;Truthful;0;we had to plan a celebration for our department during a weekend in april. most of the celebrations happens during saturday, but our date given was sunday. so we had to postpone the catering the dj and the maintenance workers for another day.None of us was aknowledge it, just within a couple of days before when we send the invitation emails. Our manager receive a reply from another department who told us that the date was wrong. So we had to resend the invitations and plan again the whole thing. Thankfully all the others associated (catering dj and maintenance) had no issues, for the sunday, but we all agree to give them a better tip for their services.;plan celebration department weekend april celebration happen saturday date give sunday postpone catering dj maintenance worker day aknowledge couple day send invitation email manager receive reply department tell date wrong resend invitation plan thing thankfully associate catering dj maintenance issue sunday agree well tip service;1;0.165217391304348;4.0;4.0;3.0
5f4e0edcc541ccaf7a8f11c4;None of them;Truthful;0;A last-minute girls trip that took place in February of this year, where we had a road trip to the south of Greece, specifically to the Peloponnese to visit Monevmasia, a castle island as I like to call it. We managed to fins a small hotel inside the castle. Surrounded by the castle and the rich history was an escape from reality. We spent 3 days on this trip, exploring every part of this small Greek treasure. In this tip 3 of my good friends were involved. We actually didn't know each other that well, but this trip bonded us. It was memorable to me as due to personal reasons i was overwhelmed, and had quite a difficult time so, having friends arrange this trip and escape reality even for a little bit was very memorable, as i came back to reality refreshed and full of energy,;minute girl trip take place february year road trip south greece specifically peloponnese visit monevmasia castle island like manage fins small hotel inside castle surround castle rich history escape reality spend 3 day trip explore small greek treasure tip 3 good friend involve actually know trip bond memorable personal reason overwhelmed difficult time have friend arrange trip escape reality little bit memorable come reality refreshed energy;7;0.0833333333333333;3.85714285714286;3.85714285714286;3.142857142857143
60e807c17adbb05b6799a83e;None of them;Truthful;0;"To paint the scene, we had worked on and planned a 3 day event, which would culminate in a closing event or the last hurrah to wrap up the weeks events. For the duration of the planning we worked from a different country to the one that had been identified as the host country for the event.

The event made me relook my position in the company and whether or not my efforts, input and role where respected; which lead to a change in roles and a favourable conclusion (to me).

We got to the country and prepared for the event, with all our guests arriving, some after a lengthy back and forth with customs. Never the less, the 3 day event went well, granted there were glitches, but overall a good experience. On the day that ""the last minute event"" was to take place, my superior asked me to handle the audio and visual components for the final event or said ""last minute event"", which happens to rely heavily on the audio and visuals I was asked to put together...IN THE LAST MINUTE! Needless to say, I felt disrespected as, to my surprise, there were meetings about the final leg of the event or ""the last hurrah"" but I was not invited to any of the meetings, but at the last hour, I was asked to handle the event at the last minute. I handled and fulfilled the requests, but I was not impressed.

I then excused myself and did not attend the event as by the time guests started arriving at the venue, I was still at the venue trying to sort out the last minute logistics of the event. People were dressed to the nines and I had the smell of running around at the venue, sorting out other event details.";paint scene work plan 3 day event culminate closing event hurrah wrap week event duration planning work different country identify host country event event relook position company effort input role respect lead change role favourable conclusion get country prepare event guest arrive lengthy forth custom 3 day event go grant glitch overall good experience day minute event place superior ask handle audio visual component final event say minute event happen rely heavily audio visual ask minute needless felt disrespect surprise meeting final leg event hurrah invite meeting hour ask handle event minute handle fulfil request impressed excuse attend event time guest start arrive venue venue try sort minute logistic event people dress nine smell run venue sort event detail;3;0.175496688741722;4.0;2.66666666666667;3.6666666666666665
616dd4121bdb418e5cbb09a5;Cheating on your partner;Truthful;0;on Sunday December the 17th i went to a wedding with a few of my friends when i got a call from a girl ive been crushing on for a few months , she came over and we met at the wedding had a good time and finally went back to my apartment ,we then proceeded to have very intimate moments and sex multiple times ..my girlfriend and i were not speaking at the time as she was angry at me .so that weekend i had a moment of weakness;sunday december 17th go wedding friend get girl ve crush month come meet wedding good time finally go apartment proceed intimate moment sex multiple time girlfriend speak time angry .so weekend moment weakness;3;0.169014084507042;4.0;4.66666666666667;2.0
6613f2bcc9eb1d833c3c107c;Cheating on your partner;Truthful;0;My partner and I were not on a break, however we were not sure about each other anymore. Which led me to start exploring other avenues. This is where I found Aaron, which was the man I cheated on my partner with. He would come over at night and we would eat chat and cuddle. He was very loving and dominant, something that my boyfriend lacked. Also he was a very good kisser and he made me feel alive! That is why this is very memorable to me.;partner break sure anymore lead start explore avenue find aaron man cheat partner come night eat chat cuddle loving dominant boyfriend lack good kisser feel alive memorable;7;0.464285714285714;4.0;3.71428571428571;3.2857142857142856
60d336e24fbd4089351d3785;Missing a deadline at work because of bad organisation;Truthful;0;"I had prepared for this day, for as long as I can remember. But when I woke up, it was already 8 am. I still had to bath and sort out the original file; with the information I needed to present. We all knew that the meeting was at 10 am, and as the Dental Therapist, it was my duty to resent first. by 9;30 am; there was traffic by the toll-gate, which made things worse for me. I arrived at 10;25 am, my assistant had to present my work on my behalf. I was humiliated and my boss was very disappointed in me! I blame myself for over-sleeping; but I think it was because I couldn't sleep enough, trying to prepare for that presentation.";"prepare day long remember wake 8 bath sort original file information need present know meeting 10 dental therapist duty resent 9;30 traffic toll gate thing bad arrive 10;25 assistant present work behalf humiliate boss disappointed blame sleep think sleep try prepare presentation";6;0.0851063829787234;4.83333333333333;4.5;4.666666666666667
5ef09df28c610f5ffa1601c9;None of them;Truthful;0;We had the most wonderful experience. The accommodation was not too spacious, but well maintained and comfortable. The food was plentiful and varied, was available almost all the time, and was very tasty. The entertainment was fantastic, with some amazing performances. We will definitely use this cruise line again.;wonderful experience accommodation spacious maintain comfortable food plentiful varied available time tasty entertainment fantastic amazing performance definitely use cruise line;9;0.4;3.88888888888889;3.22222222222222;1.4444444444444444
5bcae4e85c2b810001dc2466;Missing a deadline at work because of bad organisation;Truthful;0;I missed the timeline of the work assigned to my duty. I have completely forgotten because of the previous workload, that the time is coming to finish our important client task. The teammates helped me through the task, one by one, and after all they did not even hesitate to claim the task done by themselves. At the end, the job has been completed and the client has received their requisition done.;miss timeline work assign duty completely forget previous workload time come finish important client task teammate help task hesitate claim task end job complete client receive requisition;4;0.416;3.75;4.0;2.5
653ff4ad1b7bf9f92525aa1a;A job interview for your dream job;Truthful;0;This interview happened about 6 months ago. It was very important because it was for a job that I have dreamed of since I was at univeristy, it was for a research job. I have always wanted to work in research and since this job was in the exact field I want to work in (Artificial Intelligence) and also had a lot of benifits, it made very important. It took place in the office of the research insitute. I think what made it really memorable is how important it was and how good it went. It went very good and for some reason I could not feel any pressure at all, and I was answering all of the questions with ease.;interview happen 6 month ago important job dream univeristy research job want work research job exact field want work artificial intelligence lot benifit important take place office research insitute think memorable important good go go good reason feel pressure answer question ease;6;0.585365853658537;3.0;4.0;2.1666666666666665
5fbbde667818f3dc301f6647;A job interview for your dream job;Truthful;0;"The interview for my dream job as a programming teacher happened four months ago. I had applied for the job without much hope of actually getting hired; it was also going to be my first interview for a job ever. That's why I was incredibly nervous before it. It was conducted online, on Google Meet. The interviewer asked me some simple questions at first and then some harder ones. They were questions about explaining programming concepts to children. I had not been prepared for anything like that and initially I fumbled for words but eventually managed to piece together a reply. I came out of the interview sweating, worried that I'd done badly. You can imagine my elation when a couple days later I received an email telling me I got the job. This event will forever be a reminder for me that things are not always as bad as they might seem.";interview dream job programming teacher happen month ago apply job hope actually getting hire go interview job incredibly nervous conduct online google meet interviewer ask simple question hard one question explain programming concept child prepare like initially fumble word eventually manage piece reply come interview sweating worry badly imagine elation couple day later receive email tell get job event forever reminder thing bad;3;0.216666666666667;4.66666666666667;3.66666666666667;5.0
611e33021b47301a4818bbc8;Missing a deadline at work because of bad organisation;Truthful;0;happened 5 months back  23 November 2023 in Limpopo as part of the finance department head i was involved with my whole team waiting for the financial structure to submit their financial balance sheet so that we get the budget for sponsor so due to the bad organisation we didnt consider the time frame due to lack of communication between the structures that made us to miss the deadline to get financial boost which resulted in the company demoting our positions cause we didnt meet the important deadline that we were given cause lost the sponsor due to bad organisation and poor communication with all that happened is very memorable to me because it made me to lose my position as head of finance.;happen 5 month 23 november 2023 limpopo finance department head involve team wait financial structure submit financial balance sheet budget sponsor bad organisation not consider time frame lack communication structure miss deadline financial boost result company demote position cause not meet important deadline give cause lose sponsor bad organisation poor communication happen memorable lose position head finance;20;0.567901234567901;3.0;3.15;2.65
6492fd86ee1c49dd5b81f5d1;A job interview for your dream job;Truthful;0;I went to an interview for an Associate Clinical Research Associate post, where I had just graduated 4 months prior to the interview. I had no experience and knew only the theoretical aspects of clinical research from my university studies. The interview panel consisted of two people at the last stage of interviews and I was nervous as other people they were interviewing had more experience. I knew from the way I structured my answers that I had not been successful in the interview as I think I was not strategic enough with the answers.;go interview associate clinical research associate post graduate 4 month prior interview experience know theoretical aspect clinical research university study interview panel consist people stage interview nervous people interview experience know way structure answer successful interview think strategic answer;7;0.116883116883117;3.85714285714286;3.14285714285714;1.0
61144108e54209d166870411;Being hospitalised and undergoing surgery;Truthful;0;"I started to feel some discomfort with my heart beat. I suffered from arrythmia. I did some tests to see if it was anything serious but eventually the doctors found out that my heart stopped throughout my sleep. It stopped around 40 times in a span of 15 days of testing. 
I dont feel anything. If it wasnt for other symptons i would never had taken the test and discover this. I did a heart surgery consisting in burning some nervous terminals inside the heart. Since surgery most of the stops are over. It is almost resolved. I just dont know if it is temporary or is resolved forever.";start feel discomfort heart beat suffer arrythmia test eventually doctor find heart stop sleep stop 40 time span 15 day testing not feel not sympton take test discover heart surgery consist burn nervous terminal inside heart surgery stop resolve not know temporary resolve forever;3;0.223404255319149;4.0;3.0;2.3333333333333335
65723bb74a071113710655e7;Ending a long romantic relationship;Truthful;0;It was and an evening of a workday. Previously that day I texted my partner at the time that we need to talk and he said that he feels the same way. I was angry and sad and hoping that he will beg me to stay but he didn't. We met at his place. There was an awkward tension between us. We started with a small talk, but then I told them that we met to talk. He was drinking beer the whole time and it really annoyed me but I didn't say anything about it. I'm not sure what was said next. I acused him of ignoring me, he agreed, he said that is because of his mental health. This conversation i don't remember that good. I started crying on my way out. At home I texted him saying that I wish me the best and in response he wrote me a long, crying message about how shitty person he is and how i deserve better.;evening workday previously day texte partner time need talk say feel way angry sad hope beg stay meet place awkward tension start small talk tell meet talk drink beer time annoy sure say acuse ignore agree say mental health conversation remember good start cry way home texte say wish good response write long cry message shitty person deserve well;4;0.112426035502959;4.5;4.5;2.5
